SubjNum,Name,Start Time,End Time,Days of Week,Room,Building
ACCY569,Data Driven Decisions in Accounting,ARRANGED,,,,
ACCY570,Data Analytics Foundations for Accountancy,9:30 AM,10:50 AM,TR,2063,Business Instructional Fac
ACCY571,Statistical Analyses for Accountancy,3:30 PM,4:50 PM,TR,3041,Business Instructional Fac
ACCY575,Data Analytics Applications in Accountancy,8:00 AM,9:20 AM,TR,3009,Business Instructional Fac
ACCY578,Accounting Analytics Applications,ARRANGED,,,,
ACCY590,Adv Prof Internship in ACCY,ARRANGED,,,,
ACCY592,Introduction to Accounting Research,1:00 PM,4:50 PM,F,ARR,Business Instructional Fac
ACCY593,Special Research Problems,ARRANGED,,,,
ACCY595,Models of Decision and Choice,4:00 PM,6:50 PM,W,11,Psychology Building
ACCY599,Thesis Research,8:00 AM,11:50 AM,F,3009,Business Instructional Fac
ACE100,Introduction to Applied Microeconomics,1:00 PM,1:50 PM,R,320,Mumford Hall
ACE161,Microcomputer Applications,10:00 AM,11:50 AM,W,29/30,"ACES Lib, Info & Alum Ctr"
ACE199,Undergraduate Open Seminar,9:30 AM,10:50 AM,TR,,
ACE203,Introduction to Public Policy and Law,12:30 PM,1:50 PM,TR,132,Bevier Hall
ACE210,Environmental Economics,10:00 AM,10:50 AM,F,313,Mumford Hall
ACE222,Agricultural Marketing,2:00 PM,3:20 PM,TR,149,National Soybean Res Ctr
ACE240,Personal Financial Planning,9:30 AM,10:50 AM,TR,100,Gregory Hall
ACE251,The World Food Economy,3:00 PM,3:50 PM,R,320,Mumford Hall
ACE262,Applied Statistical Methods and Data Analytics I,11:00 AM,11:50 AM,MWF,120,Architecture Building
ACE264,Applied Statistical Methods &amp; Data Analytics 2,9:00 AM,10:20 AM,TR,150,Animal Sciences Laboratory
ACE270,Consumer Economics,1:00 PM,1:50 PM,MWF,150,Animal Sciences Laboratory
ACE293,Off-Campus Internship,ARRANGED,,,,
ACE294,On-Campus Internship,ARRANGED,,,,
ACE295,Independent Study,ARRANGED,,,,
ACE300,Intermediate Applied Microeconomics,1:00 PM,1:50 PM,F,W203,Turner Hall
